69	823	61	62	116	19380	11	1632	5	1224	3
70	841	23	63	250	11928	53	756	24	965	25
71	842	37	23	79	15708	11	629	4	1275	4
72	847	64	65	15	0	0	0	0	0	0
73	848	66	64	64	0	0	0	0	0	0
74	849	26	67	84	0	0	0	0	0	0
75	850	67	66	79	15880	9	425	2	1020	2
76	851	34	66	197	10370	9	4284	5	1071	3
77	852	66	53	191	24838	10	1445	7	3060	6
78	853	68	69	49	21628	46	2380	10	4080	8
79	854	67	68	115	14624	10	595	3	1020	2
80	855	30	67	160	26052	11	1394	8	2550	5
81	858	35	27	78	816	4	88	3	102	2
82	859	65	6	8	816	4	58	2	102	2
83	860	8	64	14	0	0	0	0	0	0
84	861	27	8	140	18700	21	879	5	2193	7
85	862	65	52	165	15896	29	2125	10	5100	6
86	869	70	13	142	5882	24	317	10	510	10
87	871	43	70	85	12750	8	2098	7	2091	5
88	878	35	71	85	0	0	3740	1	0	0
89	879	72	46	39	0	0	0	0	0	0
90	880	71	72	247	4692	21	178	6	510	10
91	884	73	74	82	1734	8	88	3	204	4
92	885	12	73	77	2380	10	236	8	204	4
93	886	11	73	81	918	4	88	3	102	2
94	887	75	12	87	2720	7	160	4	153	3
95	888	76	32	85	0	0	0	0	0	0
96	889	31	77	85	2040	2	0	0	0	0
97	890	47	44	27	0	0	0	0	0	0
98	891	78	71	72	15980	12	1308	9	4182	6
99	892	78	34	85	0	0	0	0	0	0
100	893	33	79	85	0	0	0	0	0	0
101	894	77	76	44	1462	5	116	4	102	2
102	895	44	77	62	1428	5	0	0	51	1
103	896	70	47	93	2516	8	109	3	153	3
104	897	76	75	74	1326	6	58	2	153	3
105	898	78	79	18	0	0	0	0	0	0
106	899	79	75	3	0	0	0	0	0	0
107	900	48	45	27	0	0	0	0	0	0
108	901	74	72	63	408	2	29	1	51	1
109	902	45	74	93	340	2	58	2	51	1
END					
-----------------------------------------					
InputUsedToGenerateTheGraph:					
County:	Frederiksberg				
CenterNodeId:	478				
Radius:	550				
HouseTypes:	Normal	Summer	Apartment		
NumberOfWasteFractions: 6					
IntervalsForWasteFraction:	general	2.3	3.5	7.0	
IntervalsForWasteFraction:	glass	7.0	14.0	21.0	28.0
IntervalsForWasteFraction:	metal	7.0	14.0	28.0	56.0
IntervalsForWasteFraction:	plastic	7.0	14.0	28.0	56.0
IntervalsForWasteFraction:	organic	28.0			
IntervalsForWasteFraction:	paper	7.0	14.0	56.0	
-----------------------------------------					


